scope,n_points,pearson_r,pearson_pvalue,spearman_r,spearman_pvalue
All models pooled,25,0.5121818134286474,0.008857363774380842,0.5726591146034974,0.0027741102003601393
LogisticRegression,5,0.2535384982064773,0.6806774189280332,0.0,1.0
NaiveBayes,5,0.7308229046649751,0.1607043868158293,0.9999999999999999,1.4042654220543602e-24
RandomForest,5,0.7552266197271605,0.13991174159161057,0.9999999999999999,1.4042654220543602e-24
SVM_RBF,5,0.7756349132584697,0.12319184001887182,0.9999999999999999,1.4042654220543602e-24
XGBoost,5,0.8286716107744351,0.0829066767585416,0.9999999999999999,1.4042654220543602e-24
