scope,n_points,pearson_r,pearson_pvalue,spearman_r,spearman_pvalue
All models pooled,25,0.5118513618549028,0.008908743286887122,0.5726591146034974,0.0027741102003601414
LogisticRegression,5,0.25353849820647756,0.6806774189280324,0.0,1.0
NaiveBayes,5,0.730822904664975,0.16070438681582944,0.9999999999999999,1.4042654220543602e-24
RandomForest,5,0.751642995419497,0.14291188520556733,0.9999999999999999,1.4042654220543602e-24
SVM_RBF,5,0.7756349132584698,0.1231918400188716,0.9999999999999999,1.4042654220543602e-24
XGBoost,5,0.8286716121733828,0.08290667576154381,0.9999999999999999,1.4042654220543602e-24
